"Year","Scenario","China","Guangxi","Shaanxi","Hunan","Tianjin","Shandong","Guizhou"
2023,"scenario 1","305 (212,407)","11 (8,15)","8 (6,12)","22 (16,30)","3 (2,4)","10 (7,14)","8 (6,11)"
2023,"scenario 2","305 (212,407)","11 (8,15)","8 (6,12)","22 (16,30)","3 (2,4)","10 (7,14)","8 (6,11)"
2023,"scenario 3a","306 (217,417)","11 (8,15)","9 (6,12)","22 (15,30)","3 (2,4)","10 (7,14)","8 (6,11)"
2023,"scenario 3b","306 (217,417)","11 (8,15)","9 (6,12)","22 (15,30)","3 (2,4)","10 (7,14)","8 (6,11)"
2023,"scenario 4a","305 (212,407)","11 (8,15)","8 (6,12)","22 (16,30)","3 (2,4)","10 (7,14)","8 (6,11)"
2023,"scenario 4b","305 (212,407)","11 (8,15)","8 (6,12)","22 (16,30)","3 (2,4)","10 (7,14)","8 (6,11)"
2023,"scenario 4c","306 (217,417)","11 (8,15)","9 (6,12)","22 (15,30)","3 (2,4)","10 (7,14)","8 (6,11)"
2023,"scenario 4d","306 (217,417)","11 (8,15)","9 (6,12)","22 (15,30)","3 (2,4)","10 (7,14)","8 (6,11)"
2024,"scenario 1","306 (213,408)","11 (8,15)","8 (6,12)","22 (16,30)","3 (2,4)","10 (7,14)","8 (6,11)"
2024,"scenario 2","287 (199,383)","10 (7,14)","8 (6,11)","21 (15,29)","2 (2,3)","10 (7,14)","8 (5,10)"
2024,"scenario 3a","199 (76,356)","7 (3,13)","6 (2,10)","15 (6,26)","2 (1,3)","7 (3,12)","5 (2,10)"
2024,"scenario 3b","186 (71,334)","7 (3,12)","5 (2,9)","14 (6,25)","2 (1,3)","7 (3,12)","5 (2,9)"
2024,"scenario 4a","306 (213,408)","11 (8,15)","8 (6,12)","22 (16,30)","3 (2,4)","10 (7,14)","8 (6,11)"
2024,"scenario 4b","287 (199,383)","10 (7,14)","8 (6,11)","21 (15,29)","2 (2,3)","10 (7,14)","8 (5,10)"
2024,"scenario 4c","199 (76,356)","7 (3,13)","6 (2,10)","15 (6,26)","2 (1,3)","7 (3,12)","5 (2,10)"
2024,"scenario 4d","186 (71,334)","7 (3,12)","5 (2,9)","14 (6,25)","2 (1,3)","7 (3,12)","5 (2,9)"
2025,"scenario 1","306 (213,408)","11 (8,15)","9 (6,12)","22 (16,30)","3 (2,4)","10 (7,14)","8 (6,11)"
2025,"scenario 2","268 (186,358)","10 (7,13)","7 (5,10)","21 (14,28)","2 (1,3)","10 (7,14)","7 (5,10)"
2025,"scenario 3a","116 (19,249)","4 (1,9)","3 (0,7)","9 (1,17)","1 (0,2)","4 (1,8)","3 (0,7)"
2025,"scenario 3b","102 (17,218)","4 (1,8)","3 (0,6)","8 (1,16)","1 (0,2)","4 (1,8)","3 (0,6)"
2025,"scenario 4a","306 (213,408)","11 (8,15)","9 (6,12)","22 (16,30)","3 (2,4)","10 (7,14)","8 (6,11)"
2025,"scenario 4b","268 (186,358)","10 (7,13)","7 (5,10)","21 (14,28)","2 (1,3)","10 (7,14)","7 (5,10)"
2025,"scenario 4c","116 (19,249)","4 (1,9)","3 (0,7)","9 (1,17)","1 (0,2)","4 (1,8)","3 (0,7)"
2025,"scenario 4d","102 (17,218)","4 (1,8)","3 (0,6)","8 (1,16)","1 (0,2)","4 (1,8)","3 (0,6)"
2026,"scenario 1","306 (213,409)","11 (8,15)","9 (6,12)","22 (16,30)","3 (2,4)","10 (7,14)","8 (6,11)"
2026,"scenario 2","249 (174,333)","9 (6,12)","7 (5,10)","20 (14,26)","2 (1,3)","10 (7,14)","7 (5,9)"
