"variable","scenario","total_deaths_lci","total_deaths_uci","total_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"non_suspect_bite_incidence","a2",2042.51859495322,3358.53449803638,2708.61742206642,279977216.83848,379796529.305289,330202253.213202,61372108926.5099,73003496747.2021,67224552325.9473,15385.2072982486,25298.0278421696,20402.3093527029,32439.299051613,53340.2752421682,43018.2824675407,242586.051029725,398886.316915628,321693.141494808,71248153.2655956,96650011.8661274,84029339.9985885,68740455.1536444,93248252.7865172,81071786.6080124,12263588.3808406,16635883.2924572,14463550.147257,2425964.16247942,4745044.72588501,3294948.19257023,153858.646746941,300938.559481545,208971.046176414,0.00000000159184742983364,0.00000000355069242957986,0.00000000242799828643729
"non_suspect_bite_incidence","a3",424.139389938242,424.149565920939,424.144299302936,257201568.579539,352099719.31176,304383218.291225,80708871829.3887,91925075303.0146,86285365989.7532,2192.27020835165,2192.28038433435,2192.27547496966,7622.85113633835,7623.03402433013,7622.93936996419,39400.6070771389,39400.7899651308,39400.7017315049,67330253.5548531,92172701.390513,79681470.7568651,61270530.7349163,83877158.2653669,72510138.3887472,11589219.8931291,15865226.226842,13715173.1540254,36815031.6930809,41931453.0448015,39358815.5206394,2048407.45327226,2333087.79032371,2189944.90447766,0.000000000237843762337348,0.000000000325601088453993,0.000000000275129895839778
"non_suspect_bite_incidence","a7",424.139389938242,424.149565920939,424.144299302936,111358282.641732,152434892.020557,131780832.292086,63763947558.2262,68726850192.3506,66231413276.2589,2192.27020835165,2192.28038433435,2192.27547496966,7622.85113633835,7623.03402433013,7622.93936996419,39400.6070771389,39400.7899651308,39400.7017315049,29151382.8905059,39904421.9949103,34497600.0764622,26527758.4303604,36313024.0153684,31392816.0695806,5017681.78002833,6868548.63587394,5937899.41316105,29085671.7114618,31349625.5755925,30211264.0644194,1618341.85595407,1744309.42289281,1680970.39813127,0.0000000005493802688412,0.000000000752033065658899,0.000000000635486372997135
"p_prevent","a2",2019.04209695999,3393.99902142337,2713.13891712863,329549430.562563,329795764.21949,329674345.674327,67148482543.0552,67177186430.3728,67163038204.4173,15205.3355750398,25537.4115830172,20447.4245043539,32068.8460046333,53898.4051488042,43090.2282849259,239750.785518575,402665.347357397,322404.507064279,83863210.7370963,83925897.3311752,83894998.934467,80911504.5441853,80971984.7785697,80942173.9026963,14434955.1481227,14445745.0781285,14440426.6915951,2629416.15381686,4418000.91151208,3284669.82187004,166760.022891803,280195.897106532,208319.166552553,0.00000000181175728333757,0.00000000304512686296673,0.00000000243726381358275
"p_prevent","a3",418.921868373893,429.636294434497,424.09017266212,303955744.428341,303955744.428341,303955744.428341,86234841993.3553,86234841993.3553,86234841993.3553,2186.7834798381,2197.4979058987,2192.32960161047,7529.0791568213,7721.64432951883,7621.96657815273,39301.9967719503,39494.5619446478,39401.6745233163,79569566.6042777,79569566.6042777,79569566.6042777,72408305.6098927,72408305.6098927,72408305.6098927,13695911.6517613,13695911.6517613,13695911.6517613,39242286.3120264,39434558.9256692,39334797.9838468,2183461.158886,2194159.30680908,2188608.55627659,0.000000000274826616904123,0.000000000276173165153392,0.000000000275523632359789
"p_prevent","a7",418.921868373893,429.636294434497,424.09017266212,131595800.479033,131595800.479033,131595800.479033,66209057612.384,66209057612.384,66209057612.384,2186.7834798381,2197.4979058987,2192.32960161047,7529.0791568213,7721.64432951883,7621.96657815273,39301.9967719503,39494.5619446478,39401.6745233163,34449162.4290662,34449162.4290662,34449162.4290662,31348737.8104502,31348737.8104502,31348737.8104502,5929562.08310301,5929562.08310301,5929562.08310301,30129292.6990557,30276915.0319747,30200320.9570984,1676409.46885743,1684623.25200833,1680361.51796554,0.000000000634785674206412,0.00000000063789588801282,0.000000000636395618071897
"p_transmission","a2",1842.41078824004,3607.60249905582,2697.84196617286,329555060.531467,329798723.0995,329671928.475419,67149138571.9351,67177531212.1597,67162756541.7085,13877.5701689473,27174.0712982585,20321.1456219692,29261.1797296863,57295.9746627071,42847.1466110914,218814.403540125,428466.807244383,320413.393446878,83864643.4425568,83926650.3022165,83894383.8095643,80912886.8231769,80972711.2475338,80941580.428145,14435201.7525501,14445874.683269,14440320.8132212,2471073.9084665,4840727.18742054,3305067.43030761,156719.581159143,307006.897742181,209612.824917206,0.00000000165353557171349,0.00000000324022975389759,0.00000000242222955807115
"p_transmission","a3",337.255913315423,519.107442932635,425.031982457072,303955744.428341,303955744.428341,303955744.428341,86234841993.3553,86234841993.3553,86234841993.3553,1743.1772966242,2683.11884611144,2196.86365229103,6061.33663376005,9329.66580118132,7638.89326790609,31329.2784203463,48222.3911058804,39483.1628127854,79569566.6042777,79569566.6042777,79569566.6042777,72408305.6098927,72408305.6098927,72408305.6098927,13695911.6517613,13695911.6517613,13695911.6517613,32139777.2291499,49469920.3347564,39253615.900752,1788273.87061774,2752532.01929322,2184091.54307747,0.000000000219075881774438,0.000000000337204154881898,0.000000000276093454576254
"p_transmission","a7",337.255913315423,519.107442932635,425.031982457072,131595800.479033,131595800.479033,131595800.479033,66209057612.384,66209057612.384,66209057612.384,1743.1772966242,2683.11884611144,2196.86365229103,6061.33663376005,9329.66580118132,7638.89326790609,31329.2784203463,48222.3911058804,39483.1628127854,34449162.4290662,34449162.4290662,34449162.4290662,31348737.8104502,31348737.8104502,31348737.8104502,5929562.08310301,5929562.08310301,5929562.08310301,24676155.4033802,37981826.4846628,30137991.2874142,1372994.08208545,2113328.52049939,1676893.46282421,0.000000000506014420586729,0.00000000077886330375556,0.000000000637711775087295
"suspect_bite_incidence","a2",2017.457992154,3357.74762259491,2696.56334450434,329549685.015487,329789418.051316,329671112.609532,67148503998.7355,67176455081.4365,67162666102.3159,15199.0759835417,25289.6408080487,20310.1779411355,32034.5430808652,53334.4979197245,42830.6108947867,239605.287552527,398799.438568866,320265.986103244,83863274.8086078,83924283.3161718,83894176.9827058,80911567.6991358,80970425.7094865,80941379.3220605,14434966.1764316,14445467.2657961,14440285.2131482,2655178.24109881,4419772.30419654,3306847.74387362,168376.626205154,280362.991015838,209709.020053927,0.00000000181104626491496,0.00000000301557992646537,0.00000000242092820641442
