"year","region","variable","scenario","total_deaths_lci","total_deaths_uci","total_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
2023,"China","non_suspect_bite_incidence","a2",218.908855049564,359.95399603106,290.297639465927,21701330.0566392,29438430.4905171,25594325.7217377,5964870154.23979,7068195258.63078,6520018673.41647,1219.76973414077,2005.67780993705,1617.53564474794,4178.11984382488,6870.12379348897,5540.65447829187,23280.6668782616,38280.5997323403,30872.4732669461,5651388.03558312,7666257.94023882,6665188.99003586,5199276.99273647,7052957.30501972,6131973.87083299,972745.165624745,1319554.64796361,1147245.65490992,2973992.1958986,5794696.37653354,4030834.61844359,155819.663117779,303607.937675992,211191.97730093,0.00000000159108882540778,0.00000000354900034700963,0.00000000242684138014102
2023,"China","non_suspect_bite_incidence","a3",342.295657798444,342.303870180443,342.299619831345,21268986.0934818,29102936.3559731,25163884.9328344,5910547837.72657,7030384025.35084,6467310201.70611,1769.24046867924,1769.24868106124,1769.24471902834,6533.09469815174,6533.25144062882,6533.17031797205,33767.9291640035,33768.0859064806,33768.0102866602,5567797.40667064,7618569.72669454,6587404.43267917,5066695.64007028,6932898.45129203,5994538.03373804,958357.128623183,1311346.3142073,1133856.9879749,3340710.60840428,3973673.53381822,3655407.37929003,175033.5465888,208197.073359334,191521.802641151,0.00000000232227377598191,0.00000000317764557837817,0.00000000268579944818838
2023,"China","non_suspect_bite_incidence","a7",342.295657798444,342.303870180443,342.299619831345,10654936.2221381,14571911.3533837,12602385.6418144,4393340344.6702,4953258438.48234,4671721526.65997,1769.24046867924,1769.24868106124,1769.24471902834,6533.09469815174,6533.25144062882,6533.17031797205,33767.9291640035,33768.0859064806,33768.0102866602,2789250.31993144,3814636.47994339,3299053.8329357,2538217.79113761,3471319.19674848,3002138.98797149,480099.711318199,656594.304110256,567849.640994058,2483167.2289477,2799652.46452904,2640517.43459529,130103.327646032,146685.28870768,138347.551040207,0.00000000463803163940145,0.00000000634309752845965,0.00000000536288526536093
2023,"China","p_prevent","a2",216.802952834504,362.938771248185,290.816223783601,25543724.747967,25562818.3300975,25553407.0503188,6512802879.18645,6515525659.98494,6514183593.75056,1205.65167793912,2025.41124618161,1621.11462205724,4137.92634945069,6927.09156010217,5550.55223883645,23011.2080171343,38657.2343894516,30940.7820437346,6652011.6531164,6656983.94012956,6654533.08602053,6119850.72086709,6124425.22491919,6122170.43913888,1144977.50579266,1145833.3606948,1145411.50743128,3215545.92503851,5404152.60825766,4018336.21455087,168475.654868978,283145.74598315,210537.134599339,0.00000000181110798641293,0.0000000030448101293279,0.00000000243610573589722
2023,"China","p_prevent","a3",338.084931281847,346.731856333729,342.255937696268,25128596.4793239,25128596.4793239,25128596.4793239,6462265838.91055,6462265838.91055,6462265838.91055,1764.81248252595,1773.45940757784,1769.28840116341,6452.72828258609,6617.76449886503,6532.33659566629,33683.4161057673,33848.4523220462,33768.844008966,6578166.61762406,6578166.61762406,6578166.61762406,5986131.6220379,5986131.6220379,5986131.6220379,1132266.92905854,1132266.92905854,1132266.92905854,3643875.81204163,3661729.44882008,3652466.06187054,190917.616481435,191853.041823869,191367.69494374,0.00000000268283335633018,0.00000000269597824236684,0.00000000268963756014203
2023,"China","p_prevent","a7",338.084931281847,346.731856333729,342.255937696268,12584741.4150591,12584741.4150591,12584741.4150591,4669199345.26219,4669199345.26219,4669199345.26219,1764.81248252595,1773.45940757784,1769.28840116341,6452.72828258609,6617.76449886503,6532.33659566629,33683.4161057673,33848.4523220462,33768.844008966,3294434.92540815,3294434.92540815,3294434.92540815,2997935.78212142,2997935.78212142,2997935.78212142,567054.611535878,567054.611535878,567054.611535878,2632819.97056776,2645719.80960789,2639026.70824718,137944.249292044,138620.124829403,138269.445765525,0.00000000535695050132857,0.00000000538319756720682,0.00000000537053680289106
2023,"China","p_transmission","a2",197.460887507847,386.647896140906,289.142777415922,25544161.1328078,25563047.6760147,25553219.6906764,6512865108.48722,6515558365.14499,6514156875.91243,1100.24141537306,2154.41427703177,1611.10082239971,3768.76144315411,7379.60667271181,5518.61264701504,20999.3354975401,41119.4012259032,30749.6574999068,6652125.29500203,6657043.66562884,6654484.29444698,6119955.27140187,6124480.17237853,6122125.55089122,1144997.06640222,1145843.64094636,1145403.10918169,3023032.83909735,5921935.19904515,4043295.60592594,158389.103788419,310274.502062612,211844.859603141,0.00000000165274778210296,0.0000000032386856553205,0.00000000242107539985351
2023,"China","p_transmission","a3",272.177584617942,418.938273270415,343.016011886338,25128596.4793239,25128596.4793239,25128596.4793239,6462265838.91055,6462265838.91055,6462265838.91055,1406.80642628872,2165.3728754475,1772.94754223121,5194.81300598404,7995.90456262058,6546.8434599756,26850.4709175262,41328.5583086118,33838.6828005638,6578166.61762406,6578166.61762406,6578166.61762406,5986131.6220379,5986131.6220379,5986131.6220379,1132266.92905854,1132266.92905854,1132266.92905854,2984366.30115036,4593571.45244111,3644927.83062152,156363.205090655,240676.070775817,190972.736054693,0.00000000213859956438263,0.00000000329175741709868,0.00000000269520011469635
2023,"China","p_transmission","a7",272.177584617942,418.938273270415,343.016011886338,12584741.4150591,12584741.4150591,12584741.4150591,4669199345.26219,4669199345.26219,4669199345.26219,1406.80642628872,2165.3728754475,1772.94754223121,5194.81300598404,7995.90456262058,6546.8434599756,26850.4709175262,41328.5583086118,33838.6828005638,3294434.92540815,3294434.92540815,3294434.92540815,2997935.78212142,2997935.78212142,2997935.78212142,567054.611535878,567054.611535878,567054.611535878,2156302.68495779,3319006.26696735,2633580.08854911,112977.551996757,173896.367017327,137984.074994326,0.00000000427025106927686,0.000000006572820299916,0.0000000053816438399115
2023,"China","suspect_bite_incidence","a2",216.482182095012,363.835468354252,288.285040889416,25543772.544971,25562844.4511742,25553065.8703242,6512809695.12931,6515529384.89971,6514134940.84029,1206.22901666214,2027.30647854529,1606.32141199941,4131.80408184445,6944.20602526125,5502.24178800454,23022.2271710863,38693.4070145634,30658.437117658,6652024.10025288,6656990.74249329,6654444.2370636,6119862.17223265,6124431.48309382,6122088.69809852,1144979.64825603,1145834.53155166,1145396.21430457,3212543.22622331,5401569.10080757,4055312.27572448,168318.331148198,283010.385419295,212474.462277414,0.00000000181197340258034,0.00000000304765353821888,0.00000000241390769052147
2023,"China","suspect_bite_incidence","a3",165.613162226473,645.517714780212,341.775846271177,25107492.1178959,25164814.4947977,25128533.9154976,6459249043.18785,6467443079.38471,6462256895.62723,856.010270135765,3336.48024597257,1766.53743159543,3160.91205785326,12320.4261109175,6523.17351494226,16337.9114808415,63680.4496605287,33716.3386841396,6572641.91567957,6587647.77350726,6578150.23965907,5981104.14326841,5994759.47389161,5986116.71808975,1131315.98973635,1133898.87301494,1132264.11000132,1935947.03609732,7555333.51061193,3658148.86231475,101432.214716152,395854.946757956,191665.440194048,0.00000000129941718131664,0.00000000507631526070684,0.00000000268546227622643
