"variable","region","scenario","total_deaths_lci","total_deaths_uci","total_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"non_suspect_bite_incidence","China","a2",2042.51859495322,3358.53449803638,2708.61742206642,279977216.83848,379796529.305289,330202253.213202,61372108926.5099,73003496747.2021,67224552325.9473,15385.2072982486,25298.0278421696,20402.3093527029,32439.299051613,53340.2752421682,43018.2824675407,242586.051029725,398886.316915628,321693.141494808,71248153.2655956,96650011.8661274,84029339.9985885,68740455.1536444,93248252.7865172,81071786.6080124,12263588.3808406,16635883.2924572,14463550.147257,2425964.16247942,4745044.72588501,3294948.19257023,153858.646746941,300938.559481545,208971.046176414,0.00000000159184742983364,0.00000000355069242957986,0.00000000242799828643729
"non_suspect_bite_incidence","China","a3",424.139389938242,424.149565920939,424.144299302936,257201568.579539,352099719.31176,304383218.291225,80708871829.3887,91925075303.0146,86285365989.7532,2192.27020835165,2192.28038433435,2192.27547496966,7622.85113633835,7623.03402433013,7622.93936996419,39400.6070771389,39400.7899651308,39400.7017315049,67330253.5548531,92172701.390513,79681470.7568651,61270530.7349163,83877158.2653669,72510138.3887472,11589219.8931291,15865226.226842,13715173.1540254,36815031.6930809,41931453.0448015,39358815.5206394,2048407.45327226,2333087.79032371,2189944.90447766,0.000000000237843762337348,0.000000000325601088453993,0.000000000275129895839778
"non_suspect_bite_incidence","China","a7",424.139389938242,424.149565920939,424.144299302936,111358282.641732,152434892.020557,131780832.292086,63763947558.2262,68726850192.3506,66231413276.2589,2192.27020835165,2192.28038433435,2192.27547496966,7622.85113633835,7623.03402433013,7622.93936996419,39400.6070771389,39400.7899651308,39400.7017315049,29151382.8905059,39904421.9949103,34497600.0764622,26527758.4303604,36313024.0153684,31392816.0695806,5017681.78002833,6868548.63587394,5937899.41316105,29085671.7114618,31349625.5755925,30211264.0644194,1618341.85595407,1744309.42289281,1680970.39813127,0.0000000005493802688412,0.000000000752033065658899,0.000000000635486372997135
"non_suspect_bite_incidence","Guangxi","a2",73.0129313765619,120.055921853774,96.8236648733066,21260216.4899512,28849338.5893087,25078792.1614173,3321381529.66389,4142259880.55097,3734418249.7077,546.408617859549,898.464357230697,724.591943498988,1159.73728469888,1906.96804871277,1537.94673594161,8615.29760114755,14166.2074361745,11424.737945468,5549690.31364482,7530727.40344937,6546477.54889566,5080417.9313308,6893941.89120499,5992918.531813,598584.047539417,812256.727008645,706096.521946337,3696731.54303111,7580883.14342018,5153822.48341672,234458.061173274,480802.877894691,326871.239194513,0.000000000725572163997428,0.00000000161894503378265,0.00000000110684247839698
"non_suspect_bite_incidence","Guangxi","a3",15.1499500297464,15.1503098027698,15.1501236008924,19316805.3003811,26444777.3990422,22860704.524115,3918244660.90537,4704268581.04381,4309041583.48846,77.8432846117664,77.8436443847899,77.8434708136438,272.282689643446,272.289155669162,272.285809153306,1399.03952575129,1399.045991777,1399.04287226714,5249131.87510356,7186080.81495712,6212147.9685095,4409270.77508699,6036307.88456398,5218204.29354799,566166.114916795,775083.49062046,670036.067735467,50334805.0039518,60432555.0303505,55355208.8370294,2800654.64890729,3362498.69603764,3079992.52124825,0.000000000108325089316757,0.000000000148298130504207,0.000000000125308462078248
"non_suspect_bite_incidence","Guangxi","a7",15.1499500297464,15.1503098027698,15.1501236008924,8362251.76124019,11447590.340479,9896226.48007705,2730755878.84172,3078552724.07877,2903674200.18086,77.8432846117664,77.8436443847899,77.8434708136438,272.282689643446,272.289155669162,272.285809153306,1399.03952575129,1399.045991777,1399.04287226714,2272351.02207614,3110758.24469538,2689191.97828181,1908774.85854396,2613036.92554412,2258921.26175672,245093.50889011,335523.273514599,290053.557585498,35080010.7115141,39548083.555732,37301448.2760181,1951869.98489824,2200475.87463663,2075471.92279781,0.000000000250238940118566,0.000000000342568747647394,0.000000000289467882703488
"non_suspect_bite_incidence","Guizhou","a2",55.7102675244378,91.6049683612503,73.8782807075692,9294649.46471987,12609729.4309647,10962668.5771146,1991699767.91605,2421941152.79496,2208180474.33294,420.426082886265,691.310203222029,557.52666544436,884.705753939247,1454.73080008895,1173.22241852871,6629.15849830583,10900.382005782,8790.92135980162,2353075.81385313,3192336.5648012,2775359.13344672,2294248.9185068,3112528.15068117,2705975.15511056,471838.76219383,640127.327973936,556515.013438737,2881050.73327896,5760682.4395102,3960672.39684935,182718.345729497,365346.695725245,251188.741652306,0.00000000131698545674004,0.00000000293790025443344,0.00000000200884512107075
"non_suspect_bite_incidence","Guizhou","a3",11.5492780304872,11.5495612607488,11.5494146738648,8719269.00040471,11936476.0731528,10318806.3568773,2510126562.8258,2929147997.58375,2718456466.03144,59.932660084541,59.9329433148026,59.932806671425,207.569561397546,207.574651757395,207.572017222567,1077.14057400795,1077.1456643678,1077.14320854278,2224303.31642977,3045019.40641653,2632348.56042789,2135331.18377258,2923218.63015987,2527054.61801078,446017.301010498,610587.291374642,527838.533337002,41882250.7955459,48873986.1279625,45358404.1364035,2330350.15213011,2719373.93156088,2523765.12656021,0.000000000196821931440731,0.000000000269445910870649,0.000000000227678080222335
"non_suspect_bite_incidence","Guizhou","a7",11.5492780304872,11.5495612607488,11.5494146738648,3774936.07908086,5167502.29106645,4467294.89437151,1877088254.08137,2062495249.249,1969269269.54478,59.932660084541,59.9329433148026,59.932806671425,207.569561397546,207.574651757395,207.572017222567,1077.14057400795,1077.1456643678,1077.14320854278,962993.89772471,1318240.3803741,1139616.04448253,924474.141815722,1265510.76515913,1094031.40270323,193099.536371759,264333.561072613,228515.809239636,31319807.6093446,34413544.2401463,32857951.7448779,1742650.33613915,1914787.44652114,1828233.47343843,0.000000000454641361141836,0.000000000622360572132468,0.0000000005259035002323
"non_suspect_bite_incidence","Hunan","a2",144.269082032334,237.223051188865,191.316684426683,19909315.621645,27013559.7440162,23483907.5006927,3991828004.00455,4933516886.40831,4465650887.00909,675.825805491742,1111.26615579282,896.212062013199,2322.26454530591,3818.52206882756,3079.57793438779,10619.5779349425,17461.8628824318,14082.6138354686,5027604.95496086,6821605.99596369,5930279.67189209,4927052.85586165,6685173.87604441,5811674.07845425,1162342.04474731,1577100.73341884,1371033.21790408,3592143.95506954,7299982.99313031,4982806.0525962,228602.642849789,464568.075740104,317103.837340329,0.000000000990713632378688,0.0000000022103291045099,0.00000000151124754918558
