"region","variable","scenario","total_deaths_lci","total_deaths_uci","total_deaths","total_vials_lci","total_vials_uci","total_vials","total_cost_lci","total_cost_uci","total_cost","total_deaths_averted_lci","total_deaths_averted_uci","total_deaths_averted","total_YLL_lci","total_YLL_uci","total_YLL","total_YLL_averted_lci","total_YLL_averted_uci","total_YLL_averted","vaccinated_lci","vaccinated_uci","vaccinated","fully_vaccinated_lci","fully_vaccinated_uci","fully_vaccinated","RIG_lci","RIG_uci","RIG","cost_per_death_averted_lci","cost_per_death_averted_uci","cost_per_death_averted","cost_per_YLL_averted_lci","cost_per_YLL_averted_uci","cost_per_YLL_averted","deaths_averted_per_100k_vaccinated_lci","deaths_averted_per_100k_vaccinated_uci","deaths_averted_per_100k_vaccinated"
"China","non_suspect_bite_incidence","a2",1596.70346346324,2625.47598302053,2117.41396584483,282086088.666173,382712793.403268,332717591.552,62954651212.436,74868884523.7241,68949436988.8257,11724.1100701437,19278.054390783,15547.3317412033,24843.6526908481,40850.6740000074,32945.5598157783,180381.375894083,296602.638121954,239203.579839121,71905314.6109648,97555621.9217525,84811566.6046241,69137729.722122,93800774.7798817,81547229.1713761,12376702.2774123,16791761.4232817,14598190.9018209,3265612.28308056,6385890.61991008,4434808.37332989,212252.49920586,415058.839376445,288245.840782142,1.201787230627e-09,2.6810333137522e-09,1.83316172116971e-09
"China","non_suspect_bite_incidence","a3",541.14912905669,541.162112345449,541.155392795666,260480151.45389,356583062.109819,308260786.080124,83001805329.5114,94541813816.9668,88739289505.166,2797.06422475679,2797.07720804554,2797.07094430657,9604.31981227632,9604.55023980685,9604.43098117436,49642.3220653963,49642.5524929269,49642.4413240288,68188521.3230079,93346351.3376488,80696540.8586711,62051554.4039372,84945179.7172605,73433852.1813907,11736949.2327227,16067240.7239928,13889892.0952988,29674477.7336729,33800372.8981903,31725791.4697497,1671989.07311097,1904459.94231338,1787569.00624492,2.99643658769195e-10,4.10197662858215e-10,3.46615965758093e-10
"China","non_suspect_bite_incidence","a7",541.14912905669,541.162112345449,541.155392795666,114118836.741703,156209034.356603,135045324.189973,65731016992.1236,70897456126.9848,68299677388.9484,2797.06422475679,2797.07720804554,2797.07094430657,9604.31981227632,9604.55023980685,9604.43098117436,49642.3220653963,49642.5524929269,49642.4413240288,29874041.0318594,40892417.3708384,35352179.1073227,27185377.3389921,37212099.8074629,32170482.9876637,5142069.3126088,7038607.33995555,6084993.82884792,23499893.6758178,25347096.2516599,24418285.6813025,1324086.16582496,1428165.5889019,1375832.36374575,6.84005594335799e-10,9.3629020762962e-10,7.91201848071423e-10
"China","p_prevent","a2",1578.77272911773,2653.64337667171,2120.97256428755,332090179.876435,332277587.432631,332185213.726538,68875151250.2194,68897340363.4837,68886403287.7928,11587.1416466489,19461.0066646313,15581.7127178578,24567.464003864,41281.1727755707,33001.0878537006,178274.927751754,299422.113211519,239732.561926214,84651635.8751953,84699407.1047247,84675860.5327195,81393454.0630224,81439386.6115909,81416746.3305493,14570662.825018,14578885.4479007,14574832.4941943,3539136.10108331,5946016.92673788,4420977.62519032,230026.935924951,386466.797279663,287346.878264267,1.36803102202619e-09,2.2989522250135e-09,1.84015994875386e-09
"China","p_prevent","a3",534.492220225862,548.162495773441,541.086333931455,307827885.310873,307827885.310873,307827885.310873,88687306911.535,88687306911.535,88687306911.535,2790.06384132879,2803.73411687637,2797.14000317078,9486.17293198127,9728.79311047024,9603.20532380536,49518.0791947329,49760.6993732219,49643.6669813978,80583216.0499667,80583216.0499667,80583216.0499667,73330726.6054697,73330726.6054697,73330726.6054697,13870386.0626005,13870386.0626005,13870386.0626005,31631853.5262328,31786837.8485909,31706423.9941515,1782276.13415058,1791008.62460288,1786477.75847758,3.46233865821237e-10,3.47930283042797e-10,3.4711198439094e-10
"China","p_prevent","a7",534.492220225862,548.162495773441,541.086333931455,134855726.61378,134855726.61378,134855726.61378,68276404883.8754,68276404883.8754,68276404883.8754,2790.06384132879,2803.73411687637,2797.14000317078,9486.17293198127,9728.79311047024,9603.20532380536,49518.0791947329,49760.6993732219,49643.6669813978,35302546.2339739,35302546.2339739,35302546.2339739,32125317.0729162,32125317.0729162,32125317.0729162,6076450.77052275,6076450.77052275,6076450.77052275,24351954.2287918,24471269.7510743,24409362.7085089,1372094.96136257,1378817.71656316,1375329.60466961,7.90329349854017e-10,7.94201669843906e-10,7.92333783697142e-10
"China","p_transmission","a2",1440.27179367757,2820.18043070193,2108.99044556754,332094463.086156,332279838.511427,332183374.751929,68875658383.5899,68897606891.9171,68886185552.6241,10575.2336351879,20707.6705017187,15485.4819068846,22409.6730913884,43880.145808858,32814.4954336821,162705.330499057,318598.006742878,238251.988783595,84652727.6892012,84699980.9172435,84675391.7678528,81394503.8538766,81439938.3384702,81416295.6081119,14570850.7535038,14578984.2153805,14574751.8080417,3326093.98907874,6514996.19475716,4448436.66905828,216183.582212978,423450.213220374,289131.628677373,1.24855206821363e-09,2.44619057967583e-09,1.82880546326137e-09
"China","p_transmission","a3",430.296614955838,662.316557466505,542.287966136258,307827885.310873,307827885.310873,307827885.310873,88687306911.535,88687306911.535,88687306911.535,2224.07750432455,3423.32606019029,2802.92488812862,7636.908353488,11754.8004668558,9624.53190343375,39472.948383115,60757.2229878303,49746.3371738255,80583216.0499667,80583216.0499667,80583216.0499667,73330726.6054697,73330726.6054697,73330726.6054697,13870386.0626005,13870386.0626005,13870386.0626005,25906765.9206863,39875996.5599622,31640985.916946,1459699.81098871,2246786.99069442,1782790.69274267,2.75997610091099e-10,4.24818743653469e-10,3.47829861542214e-10
"China","p_transmission","a7",430.296614955838,662.316557466505,542.287966136258,134855726.61378,134855726.61378,134855726.61378,68276404883.8754,68276404883.8754,68276404883.8754,2224.07750432455,3423.32606019029,2802.92488812862,7636.908353488,11754.8004668558,9624.53190343375,39472.948383115,60757.2229878303,49746.3371738255,35302546.2339739,35302546.2339739,35302546.2339739,32125317.0729162,32125317.0729162,32125317.0729162,6076450.77052275,6076450.77052275,6076450.77052275,19944464.4428875,30698752.5169951,24358984.8493801,1123757.82707434,1729701.16701699,1372491.09708925,6.30004841459333e-10,9.69710807119008e-10,7.93972443107005e-10
"China","suspect_bite_incidence","a2",1965.73392608394,2257.00610489882,2107.48204850455,332157613.671117,332208025.708808,332182690.095265,68883147933.7641,68889209858.9197,68886106209.5097,14416.9196739138,16538.5814163012,15474.3635156843,30582.7806868559,35162.5890030906,32792.1694600788,221921.295636092,255027.336750517,238090.088122251,84668823.7773126,84681651.4876306,84675217.4527653,81409983.0582459,81422361.3667732,81416127.5948674,14573621.2926699,14575829.2623084,14574721.8040572,4164997.35980194,4778358.44390317,4451627.76095371,270101.036271064,310421.808152583,289327.904209684,1.70248447221411e-09,1.95332599160694e-09,1.82749616489812e-09
